ao,code,title,where,who,summary,impact,refs,status
1101,EVT-1101-DOUBLE-PLEDGE,Auditors Expose Double-Pledged Dredge Notes,LOC:ORD-001,"FAC:PDO-001;FAC:DBW-001","Ledger check finds beacon/dredge paper pledged twice to different houses","Debt mini-panic; short-term reformers gain office then stall","canon/entities/factions/public_debt_office.md|canon/entities/factions/dredge_and_bar_works.md",Draft
1102,EVT-1102-REFORM-MIN,Short Reform Ministry Seated (Ord),LOC:ORD-001,"FAC:COC-001;FAC:SYN-001","Council seats a ‘clean ledgers’ ministry with Beat Six blessing","Warrants narrow briefly; cartels adapt; public mood sours","canon/entities/factions/council_of_captains.md|canon/entities/factions/synod_of_beats.md",Draft
1111,EVT-1111-GREEN-YEARS,Green Years of Heavy Bloom,REG:BRI-001,"FAC:HBW-001","Pollen/algae cycles increase drag; pilot errata multiply","Schedules slip; convoy windows narrow; inland prices rise","canon/systems/planetology/hydrology.md|canon/systems/transport/navigation_currents.md",Draft
1120,EVT-1120-PASS-CUTS,Upland Confederations Cut the Pass Roads,REG:ORD-WEST,"(mint upland confed ID);FAC:COC-001","Confederations seize toll passes; torch timber depots; demand lane tribute","Inland ore/timber inputs choke; escorts redeployed from Sar lanes","canon/eras/06_middle_cadence_disjunction_1050_1200.md",Draft
1123,EVT-1123-SATELLITE-BURNS,Satellite Market Belts Burned (Three Cities),REG:ORD-WEST,"(upland IDs);FAC:HBW-001","Un-walled depots and fairs torched in concerted raids","Ports hold but starve; black markets surge","canon/notes/snapshots/decline_mechanics_c1050_1120.md",Draft
1131,EVT-1131-TREATY-LAW,Contract Port Precedent Established (Sar Littoral),REG:SAR-NORTH,"FAC:COC-001;FAC:SYN-001","Court adopts ‘contract first’ reading for port sovereignty disputes","Captain-Reps gain patrimonial levers; center weakens by law","canon/entities/factions/council_of_captains.md|canon/entities/factions/synod_of_beats.md",Draft
1142,EVT-1142-HOUSE-SPLIT,House Four vs Five Relief Schism,LOC:ORD-001,"FAC:SYN-001;FAC:BEAT-004;FAC:BEAT-005","Public quarrel over harbor relief vs doctrinal purity","Temple legitimacy dips; street choirs pick sides","canon/entities/factions/synod_of_beats.md",Draft
1186,EVT-1186-REP-POWERS,Captain-Rep Powers Made ‘Temporary’ (Not),REG:SAR-NORTH,"FAC:COC-001","Emergency ordinances grant posting Captains police powers ‘for the duration’","Temporary powers persist; model for later petty sovereignties","canon/eras/06_middle_cadence_disjunction_1050_1200.md",Draft
1189,NL-1189-FOG,"Fog-gate marts on the Stern shore",LOC:STERN-LITT,FAC:SHORE-CREWS,"Seasonal palisade ports admit insurers' clerks","Assay minimum appears in the Northlands",canon/notes/snapshots/northlands_c0_1400.md,Draft
1198,EVT-1198-QUIET-DEFECT,Quiet Defection of Two Treaty Ports,REG:SAR-NORTH,"FAC:COC-001","Ports keep rites & seals but stop remitting in practice; contracts reworded","Council prestige becomes ceremonial; practical fragmentation","canon/eras/06_middle_cadence_disjunction_1050_1200.md",Draft
1206,EVT-1206-CTPORT-CHARTER,"First Contract Port charter with mixed fee courts",LOC:SEV-001,FAC:KOS-001|FAC:HBW-001,"City bench adopts charter model; stamps fee schedule; escorts by subscription","Formalizes bench-dockets & convoy-fee bundling; shifts power local",canon/notes/snapshots/known_world_c1200.md|canon/systems/security/letters_of_marque_c1050_1200.md,Draft
1211,EVT-1211-PILOT-LEAF-EXCH,"Pilot-Leaf Exchange formalized at Kllrian–Ord hub",LOC:ORD-001,FAC:COMP-001,"Guild stalls begin posted swaps for errata/pilot-leafs","Standardizes pilotage info; premiums tied to certified leaves",canon/systems/tech/writing_and_printing_c700_1200.md|canon/notes/diegetic/pilot_errata_leaf_annotated_1203.md,Draft
1215,EVT-1215-INSURED-RAIL,"First insured grain-rail convoy clears the Passes",REG:KAH-UP,FAC:INS-001|FAC:HBW-001,"Meal-ticket rails honored only inside core wards; escorts paid from subscription","Shows scrip limits inland; forces mixed writs in relief convoys",canon/notes/snapshots/decline_mechanics_c1050_1120.md|canon/notes/snapshots/mil_response_second_hammer_1120.md,Draft
1220,EVT-1220-FOUNDRY-LETTER,"Works letter on small bombards financing",LOC:ORD-001,FAC:IMW-001|FAC:PDO-001,"Debt Office approves short stair to buy iron & breeching rope","Links early artillery procurement to beacon/convoy finance",canon/systems/tech/early_artillery_c1200_1350.md |canon/entities/factions/public_debt_office.md,Draft
1285,EVT-1285-BELL-BLACK,"Black Bell Year posted by the Steps",REG:BRIGHT-SEA,FAC:INS-001,"Rates spike after three beacon rows fail in storms","Convoys consolidate; independents stay inshore; raiding surges",canon/eras/07_mangrove_garrot_1200-1290.md,Draft
1287,EVT-1287-DONA-ELECT,"Camra Dona elected High Master",LOC:ORD-CAP,PERS:DONA-001,"High Master with Tau-Hi marriage tie consolidates Works and Steps influence","Funds pilot-chorus; permits private leaf cache",canon/eras/07_mangrove_garrot_1200-1290.md,Draft
1298,EVT-1298-SEVF-PACT,"Seven Fingers parity charter & marriage alliance",LOC:SEVEN-FINGERS,PERS:DONA-001|PERS:SEVF-ARCH,"Equal wharfage shares at reef-cut; dynastic tie","Stabilizes Sar gate; Elector parity won on paper",canon/eras/07_mangrove_garrot_1200-1290.md,Draft
1289,EVT-1289-WIDI-RETURN,"First all-ships return from westing attempt",SEA:WIDI-LANE,FAC:PILOT-CHORUS,"Private pilot leaves, reef dyes, and convoy rules enforced","Widiwidi lane becomes insurable",canon/eras/07_mangrove_garrot_1200-1290.md,Draft
1301,EVT-1301-KLL-NORTH,"North Kllrian enters the League",REG:KLLRIAN,FAC:KLL-NORTH,"Blockade + amnesty flips benches to compacts","South isolated; privateerization spreads",canon/systems/security/mangrove_piracy_compacts_c1200_1290.md,Draft
1306,EVT-1306-KAHEAD,"Head-Silver at Kahet ford",REG:KAH-NORTH,PERS:DONA-001,"Upland confederate leader assassinated by purse; successor takes Dona marriage","Clears path for Ord-Kahet charter",canon/eras/08_knotted_lanterns_1290_1400.md,Draft
1308,EVT-1308-ORD-KAH,"Ord-Kahet chartered",LOC:ORD-KAH,FAC:OBE-SEAL|PERS:DONA-KIN,"Ord-style charter port north of Kahet; Too-Kahet nucleus","Northern trade funnels to Principality benches",canon/eras/08_knotted_lanterns_1290_1400.md,Draft
1312,EVT-1312-KNEES-ELEC,"Knees admitted as Elector",LOC:KNEES,FAC:KNEES|FAC:ELEC-COLL,"Late accession after South Kllrian collapse","Shifts Sar balance; fuels westward colonies",canon/eras/08_knotted_lanterns_1290_1400.md,Draft
1315,EVT-1315-ORD-COLL,"Ord Collegium chartered (Pilotry & Hydrology)",LOC:ORD-CAP,FAC:BENCH-ORD,"Guild-college with bench charter","Professionalizes pilots and Works clerks",canon/eras/08_knotted_lanterns_1290_1400.md,Draft
1322,EVT-1322-TAU-LYC,"Tau-Hi Lyceum opens",LOC:TAU-HI,FAC:TAU-HI,"Assay & Account faculty backed by merchants","Feeds Factors’ Row with literate clerks",canon/eras/08_knotted_lanterns_1290_1400.md,Draft
1331,EVT-1331-DEAFLAW,"First public Deafening under edict",LOC:ORD-WARD,FAC:TEMPLE-ORD,"Liquid gold ritual on heresiarch","Chills pulpits; seeds pamphlet wars",canon/eras/08_knotted_lanterns_1290_1400.md,Draft
1343,EVT-1343-DISCORD,"Synod Melody declared Discordant",REG:BRIGHT-SEA,FAC:SYNOD,"Formal break between currents","Doctrinal fracture hardens circles",canon/eras/08_knotted_lanterns_1290_1400.md,Draft
1376,EVT-1376-CIRC,"Reef-Back Circuit (first circumnavigation)",SEA:OUTER-RIM,FAC:PILOT-CHORUS,"Compact completes ring in four festival windows","Ends ‘myth’ status; insurers rate long legs",canon/eras/08_knotted_lanterns_1290_1400.md,Draft
1391,EVT-1391-FISH-BAN,"Fishery Ban — Festival II",REG:BRIGHT-SEA,FAC:ACCESS-BOARD,"Rotating closures during Green Years","Stabilizes stocks; spikes prices; sparks riots",canon/eras/08_knotted_lanterns_1290_1400.md,Draft
1396,EVT-1396-GREEN,"Green Belt peak storms",REG:BRIGHT-SEA,FAC:INS-001,"Premium shocks; reef shifts recorded","Convoys rerouted; inland prices climb",canon/eras/08_knotted_lanterns_1290_1400.md,Draft
